sentence_id,text,label,score,start,end,sentence
1,St. Fiden,LOC,1.0,0,9,"St. Fiden wurde erst im Jahre 1918 durch die Eingemeindung von Tablat, dem die Siedlung zugehörte, ein Teil des Stadtgebietes."
1,Tablat,LOC,1.0,63,69,"St. Fiden wurde erst im Jahre 1918 durch die Eingemeindung von Tablat, dem die Siedlung zugehörte, ein Teil des Stadtgebietes."
3,St. Fiden,ORG,0.997,101,110,"Die Ortschaft verdankte, wie schon der Name erkennen läßt, allein der Kirche, die bis 1777 den Titel St. Fiden trug, ihr Dasein."
4,Eichbohl,LOC,1.0,25,33,"Ehemals hieß die Gegend «Eichbohl» (Eichenhügel) oder auch «Farna», Die Legende bringt die Gründung der Kirche mit einem wunderhaften, dem Abt Ulrich III."
4,Eichenhügel,LOC,1.0,36,47,"Ehemals hieß die Gegend «Eichbohl» (Eichenhügel) oder auch «Farna», Die Legende bringt die Gründung der Kirche mit einem wunderhaften, dem Abt Ulrich III."
4,Farna,LOC,1.0,60,65,"Ehemals hieß die Gegend «Eichbohl» (Eichenhügel) oder auch «Farna», Die Legende bringt die Gründung der Kirche mit einem wunderhaften, dem Abt Ulrich III."
4,Ulrich III,PER,1.0,143,153,"Ehemals hieß die Gegend «Eichbohl» (Eichenhügel) oder auch «Farna», Die Legende bringt die Gründung der Kirche mit einem wunderhaften, dem Abt Ulrich III."
7,Oberrhein,LOC,1.0,97,106,"Jahrhunderts glaubhaft, da sich in dieser Zeit ein starker Aufschwung der St.-Fides-Verehrung am Oberrhein ereignete, der seinen Ursprung darin hatte, daß damals Kirche und Kloster zum hl."
8,Schlettstadt,LOC,1.0,8,20,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,Elsaß,LOC,1.0,22,27,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,Hildegard von Hohenstaufen,PER,1.0,54,80,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
