sentence_id,sentence,predicted,n_predicted,n_wrong,n_missed,notes
2,"Die Grenze zwischen dem alten Stadtterritorium und der Landschaft ging mitten durch ein zunächst der Kirche gelegenes Haus hindurch, das im Jahre 1426 durch einen Spruch der Räte der städtischen Gerichtsbarkeit zugeteilt wurde (Vad. I, S.365).",,0,,,
9,"Es bestanden an dieser Kirche, deren Vermögen «vor ziten mechtig was» (Vad. I, S.",,0,,,
10,"264), zwei Pfründen, die «mehrere » und die «mindere pfrund », von denen bereits Abt Ulrich VI.",PER: Ulrich VI,1,,,
11,(1204-1220) einen Teil der Einkünfte an den Klostertisch zog.,,0,,,
13,inkorporierte dann die größere Pfrund dem Kloster zur Dotierung der Prädikatur.,,0,,,
15,"Gotteshaus hinaus (UB III, S. 360).",,0,,,
16,Über seinen kirchenrechtlichen Status siehe S.69.,,0,,,
18,"und Bischof Werner von Konstanz — wurde nach der Schlacht auf dem Breitfeld die Kirche von St. Fiden, «die gar wol mit allerlei klainoter und kilchengeprenge begabt und geziert war», von einigen bischöflichen Edlen geplündert.",PER: Werner von Konstanz | LOC: Breitfeld | LOC: St. Fiden,3,,,
19,"Ob eine Rekonziliation vom 8. April 1495 auf einen Umbau zu beziehen ist, wissen wir nicht.",,0,,,
24,"Am 7. April 1776 schlossen die Gemeinden Tablat und Rotmonten mit dem Offizial P. Iso Walser, der zahlreiche Kirchenbauten im Abteigebiet leitete, einen Vertrag über den Neubau der Kirche St. Fiden ab®.",LOC: Tablat | LOC: Rotmonten | PER: Iso Walser | LOC: St. Fiden,4,,,
25,"Die Gemeinde überließ dem Pater «die völlige Aufsicht, Direktion und Veranstaltung dieses Kirchen- und Turmbaues».",,0,,,
26,"Er wurde ermächtigt, «nach vorgelegtem Bauriß» mit dem Baumeister (Joh.)",,0,,,
28,Die Gemeinden übernahmen Fronfuhren und die Lieferung von Materialien?,,0,,,
33,"Der Meister übernahm auf seine Rechnung alle Maurer- und Zimmermannsarbeiten, der Offizial aber das Glaser-, Schlosser-, Steinhauer- und Schreinerwerk, auch das Lattengewölbe, die Schindeln und anderes, Obwohl die neue Kirche nicht auf dem Areal der alten erstand (s. unten S.",,0,,,
34,"196), wurde diese bereits am 7. April 1777 aufgegeben.",,0,,,
36,Mai 1777‘.,,0,,,
37,"Schon im Sommer des gleichen Jahres war die neue Kirche unter Dach und am 14. Juli 1778 auch der Turm vollendet, Die Deckenmalereien schuf Antoni Dick aus Isny, die Stukkaturen Peter Antoni Moosbrugger.",PER: Antoni Dick | LOC: Isny | PER: Peter Antoni Moosbrugger,3,,,
38,"Dick übernahm auch die Ausführung «von 100 Stuck großen Malereien», die im einzelnen nicht mehr nachzuweisen sind.",PER: Dick,1,,,
